Starting Median Salary,Mid-Career Median Salary,School_Name,Private,Apps,Accept,Acp_Rate(%),Location,Rank,Tuition and fees
"$60,300.00","$110,000.00",cornell university,,,,,"Ithaca, NY",15.0,"$50,953 "
"$56,200.00","$109,000.00",brown university,Yes,12586.0,3239.0,0.26,"Providence, RI",14.0,"$51,367 "
"$59,400.00","$107,000.00",columbia university,Yes,6756.0,1930.0,0.29,"New York, NY",5.0,"$55,056 "
"$59,900.00","$112,000.00",university of california berkeley,,,,,,,
"$52,700.00","$103,000.00",university of virginia ,,,,,,,
"$57,200.00","$101,000.00",cal poly san luis obispo,,,,,,,
"$52,600.00","$101,000.00",university of california at los angeles ,,,,0.4986,,,
"$51,100.00","$101,000.00",university of california san diego ,,,,,,,
"$52,300.00","$99,600.00",university of california davis,,,,,,,
"$47,100.00","$97,600.00",university of colorado  boulder ,,,,0.7747,,,
"$48,300.00","$96,700.00",university of california irvine ,,,,0.4435,,,
"$49,700.00","$96,100.00",texas a&m university,,,,,,,
"$53,600.00","$95,900.00",binghamton university,,,,0.7721,,,
"$57,100.00","$95,800.00",university of missouri  rolla ,,,,0.9024,,,
"$53,500.00","$95,600.00",san jose state university ,,,,,,,
"$52,700.00","$93,000.00",university of michigan,,,,,,,
"$49,500.00","$93,000.00",stony brook university,,,,0.6667,,,
"$50,300.00","$91,800.00",rutgers university,,,,,,,
"$51,400.00","$90,500.00",purdue university,,,,0.911,,,
"$48,000.00","$88,800.00",university of connecticut ,,,,0.6074,,,
"$46,600.00","$88,200.00",university of massachusetts   amherst,,,,,,,
"$47,400.00","$88,100.00",california state university  chico,,,,,,,
"$48,900.00","$87,800.00",university of wisconsin   madison,,,,,,,
"$45,700.00","$87,000.00",california state university fullerton ,,,,,,,
"$47,800.00","$86,900.00",george mason university,No,5653.0,4326.0,0.77,"Fairfax, VA",143.0,"$32,582 "
"$45,400.00","$86,600.00",university of massachusetts   lowell,,,,,,,
"$47,300.00","$86,400.00",san francisco state university ,,,,,,,
"$47,500.00","$86,100.00",university of arizona,,,,,"Tucson, AZ",124.0,"$30,025 "
"$48,400.00","$86,000.00",clemson university,No,8065.0,5257.0,0.65,"Clemson, SC",66.0,"$32,796 "
"$48,800.00","$85,300.00",university of washington ,,,,0.9055,,,
"$46,300.00","$85,300.00",michigan state university ,,,,0.7217,,,
"$43,900.00","$85,300.00",university of rhode island ,,,,,,,
"$46,200.00","$85,200.00",san diego state university ,,,,,,,
"$45,400.00","$84,700.00",auburn university,,,,0.7715,"Auburn, AL",99.0,"$28,840 "
"$45,300.00","$84,700.00",washington state university ,,,,,,,
"$45,100.00","$84,700.00",california state university long beach ,,,,,,,
"$45,400.00","$84,600.00",iowa state university,No,8427.0,7424.0,0.88,"Ames, IA",111.0,"$21,483 "
"$45,900.00","$84,500.00",university of delaware,Yes,14446.0,10516.0,0.73,"Newark, DE",79.0,"$31,420 "
"$46,100.00","$84,400.00",university of colorado  denver,,,,,,,
"$49,200.00","$84,300.00",california state university east bay ,,,,,,,
"$47,300.00","$84,200.00",state university of new york  at farmingdale,,,,,,,
"$46,200.00","$84,200.00",university of minnesota,,,,0.636,,,
"$44,700.00","$84,100.00",university of california santa cruz ,,,,,,,
"$44,900.00","$83,700.00",ohio state university ,,,,,,,
"$47,200.00","$83,300.00",north carolina state university ,,,,0.5232,,,
"$45,100.00","$83,300.00",oregon state university ,,,,0.7415,,,
"$45,400.00","$83,200.00",university of utah,No,5095.0,4491.0,0.88,"Salt Lake City, UT",111.0,"$27,039 "
"$46,500.00","$82,900.00",university of nevada reno ,,,,,,,
"$44,700.00","$82,900.00",university of oklahoma,No,4743.0,3970.0,0.84,"Norman, OK",111.0,"$21,451 "
"$44,100.00","$82,800.00",university of arkansas,,,,,"Fayetteville, AR",135.0,"$23,168 "
"$44,800.00","$82,700.00",university of vermont ,,,,,,,
"$43,100.00","$82,700.00",university of alabama at huntsville ,,,,,,,
"$47,800.00","$82,400.00",california state university sacramento ,,,,,,,
"$44,900.00","$82,000.00",university of idaho,,,,,"Moscow, ID",171.0,"$22,040 "
"$47,500.00","$81,700.00",university of illinois at chicago,No,8384.0,5727.0,0.68,,,
"$46,200.00","$81,700.00",state university of new york  at buffalo,,,,,,,
"$42,400.00","$81,600.00",university of kansas,No,8579.0,5561.0,0.65,"Lawrence, KS",118.0,"$25,932 "
"$41,600.00","$81,600.00",university of new mexico ,,,,,,,
"$42,900.00","$81,500.00",university of north carolina at chapel hill ,,,,0.6878,,,
"$46,800.00","$81,300.00",university of california riverside ,,,,,,,
"$42,300.00","$81,300.00",state university of new york  at geneseo,,,,,,,
"$41,700.00","$81,000.00",university of missouri  columbia,,,,,,,
"$45,700.00","$80,900.00",university of nebraska,,,,,,,
"$45,400.00","$80,800.00",university of texas at arlington ,,,,,,,
"$43,600.00","$80,800.00",northern illinois university ,,,,,,,
"$42,800.00","$80,700.00",oklahoma state university,No,4522.0,3913.0,0.87,"Stillwater, OK",152.0,"$20,978 "
"$44,000.00","$80,600.00",university of north dakota,No,2777.0,2249.0,0.81,"Grand Forks, ND",202.0,"$18,899 "
"$45,500.00","$80,400.00",california state university northridge ,,,,,,,
"$46,000.00","$79,900.00",university of houston ,,,,0.811,,,
"$44,300.00","$79,500.00",new mexico state university,,,,,"Las Cruces, NM",220.0,"$21,234 "
"$46,500.00","$79,400.00",lamar university,No,2336.0,1725.0,0.74,,,
"$44,500.00","$79,300.00",mississippi state university ,,,,,,,
"$44,800.00","$79,000.00",colorado state university ,,,,,,,
"$43,300.00","$79,000.00",kansas state university ,,,,,,,
"$44,500.00","$78,700.00",university of wyoming ,,,,,,,
"$43,800.00","$78,700.00",utah state university,,,,,"Logan, UT",220.0,"$19,772 "
"$45,800.00","$78,500.00",university of wisconsin   platteville,,,,0.6765,,,
"$42,200.00","$78,400.00",university of oregon,No,8631.0,6732.0,0.78,"Eugene, OR",103.0,"$33,442 "
"$42,800.00","$78,300.00",university of kentucky ,,,,,,,
"$45,600.00","$78,200.00",university of massachusetts   boston,,,,0.6851,,,
"$47,000.00","$77,800.00",university of maryland baltimore county ,,,,,,,
"$45,100.00","$77,800.00",north dakota state university ,,,,,,,
"$38,000.00","$77,800.00",state university of new york  at oswego,,,,,,,
"$43,200.00","$77,700.00",university of massachusetts   dartmouth,,,,,,,
"$46,600.00","$77,500.00",montana state university  bozeman,,,,0.7347,,,
"$37,500.00","$76,700.00",state university of new york  at oneonta,,,,,,,
"$41,100.00","$76,300.00",university of louisiana  at lafayette,,,,,,,
"$40,800.00","$76,200.00",state university of new york  at plattsburgh,,,,,,,
"$42,800.00","$76,100.00",wayne state university,,,,,,,
"$43,800.00","$76,000.00",university of hawaii,,,,,,,
"$43,100.00","$75,900.00",university of toledo,,,,0.7955,,,
"$43,200.00","$75,500.00",florida international university ,,,,0.8818,,,
"$40,800.00","$75,500.00",university of wisconsin   whitewater,,,,,,,
"$42,700.00","$75,400.00",western washington university,No,5548.0,3563.0,0.64,,,
"$43,300.00","$74,700.00",minnesota state university  mankato,,,,0.7147,,,
"$42,300.00","$74,600.00",university of wisconsin   milwaukee,,,,0.3017,,,
"$39,200.00","$74,500.00",university of arkansas  monticello ,,,,1,,,
"$45,700.00","$74,000.00",penn state  harrisburg,,,,0.2302,,,
"$43,100.00","$74,000.00",university of north carolina at charlotte ,,,,0.8582,,,
"$41,800.00","$74,000.00",georgia state university,No,3793.0,2341.0,0.62,,,
"$42,300.00","$73,800.00",western michigan university ,,,,0.5515,,,
"$41,100.00","$73,500.00",south dakota state university ,,,,0.6526,,,
"$44,900.00","$73,400.00",idaho state university,,,,0.6394,,,
"$42,000.00","$73,400.00",illinois state university,No,8681.0,6695.0,0.77,"Normal, IL",152.0,"$20,886 "
"$43,500.00","$73,100.00",cleveland state university,,,,0.4341,,,
"$45,900.00","$72,600.00",university of alaska anchorage,,,,0.716,,,
"$42,400.00","$72,600.00",fitchburg state college,,,,0.3121,,,
"$41,500.00","$72,600.00",university of nebraska at omaha,,,,0.4152,,,
"$43,000.00","$72,500.00",southern illinois university carbondale,,,,0.5063,,,
"$43,400.00","$72,100.00",university of texas at el paso ,,,,0.6386,,,
"$42,700.00","$72,100.00",california state university dominguez hills ,,,,0.1484,,,
"$41,200.00","$72,100.00",university of maine,,,,0.4107,"Orono, ME",183.0,"$29,498 "
"$40,300.00","$72,100.00",eastern michigan university,,,,0.2876,,,
"$39,800.00","$72,100.00",bowling green state university,No,9251.0,7333.0,0.79,"Bowling Green, OH",194.0,"$18,332 "
"$37,300.00","$71,900.00",university of montana,,,,0.5057,"Missoula, MT",214.0,"$24,562 "
"$42,600.00","$71,700.00",university of central florida ,,,,0.3006,,,
"$40,000.00","$71,700.00",university of south carolina,,,,,"Columbia, SC",107.0,"$31,282 "
"$45,200.00","$71,600.00",university of nevada las vegas ,,,,0.322,,,
"$41,800.00","$71,400.00",st cloud state university,,,,0.4737,,,
"$40,700.00","$71,400.00",university of wisconsin   parkside,,,,,,,
"$38,000.00","$71,400.00",california state university  stanislaus,,,,,,,
"$42,600.00","$71,300.00",humboldt state university,,,,1,,,
"$42,600.00","$71,100.00",florida atlantic university ,,,,,,,
"$41,100.00","$71,100.00",university of south florida ,,,,,,,
"$42,600.00","$70,900.00",portland state university ,,,,0.2297,,,
"$38,600.00","$70,900.00",eastern washington university,,,,0.6652,,,
"$42,500.00","$70,700.00",university of texas at san antonio ,,,,,,,
"$41,100.00","$70,300.00",university of akron,,,,,,,
"$38,000.00","$70,300.00",state university of new york  at potsdam,,,,,,,
"$39,200.00","$70,100.00",university of alabama at birmingham ,,,,,,,
"$41,400.00","$69,700.00",university of memphis ,,,,0.913,,,
"$40,800.00","$69,500.00",boise state university ,,,,,,,
"$36,100.00","$69,500.00",missouri state university ,,,,,,,
"$42,200.00","$69,300.00",university of wisconsin   la crosse,,,,,,,
"$40,400.00","$69,100.00",appalachian state university,No,7313.0,4664.0,0.64,,,
"$42,000.00","$68,400.00",virginia commonwealth university ,,,,,,,
"$43,600.00","$68,300.00",university of wisconsin   stout,,,,,,,
"$40,200.00","$67,500.00",east carolina university ,,,,,,,
"$42,400.00","$67,100.00",utah valley state college,,,,,,,
"$41,400.00","$67,100.00",university of missouri  st louis ,,,,,,,
"$36,900.00","$66,600.00",western carolina university,No,3224.0,2519.0,0.78,,,
"$39,300.00","$66,400.00",university of wisconsin   oshkosh,,,,0.5356,,,
"$37,800.00","$66,200.00",state university of new york  at fredonia,,,,0.3727,,,
"$38,900.00","$65,800.00",university of missouri  kansas city ,,,,0.6178,,,
"$41,400.00","$64,800.00",university of wisconsin   eau claire,,,,0.6013,,,
"$39,100.00","$64,500.00",ball state university ,,,,,,,
"$37,500.00","$64,400.00",university of north carolina at wilmington ,,,,,,,
"$39,800.00","$64,000.00",university of wisconsin   stevens point,,,,,,,
"$39,400.00","$63,600.00",university of southern maine,,,,,,,
"$38,700.00","$63,300.00",arkansas state university ,,,,,,,
"$38,700.00","$62,600.00",kent state university,,,,0.0931,"Kent, OH",188.0,"$18,376 "
"$40,800.00","$62,400.00",tarleton state university ,,,,,,,
"$35,800.00","$60,600.00",university of wisconsin   green bay,,,,,,,
"$34,800.00","$60,600.00",morehead state university,,,,,,,
"$37,700.00","$59,200.00",austin peay state university,,,,0.5787,,,
"$40,400.00","$58,200.00",pittsburg state university,,,,,,,
"$41,900.00","$56,500.00",southern utah university,,,,,,,
"$37,900.00","$50,600.00",montana state university  billings,,,,,,,
"$35,300.00","$43,900.00",black hills state university,,,,,,,
31800,,abilene christian university,Yes,1660.0,1232.0,0.74,,,
33200,,adelphi university,Yes,2186.0,1924.0,0.88,"Garden City, NY",146.0,"$34,034 "
29700,,adrian college,Yes,1428.0,1097.0,0.77,,,
33000,,agnes scott college,Yes,417.0,349.0,0.84,,,
35600,,alaska pacific university,Yes,193.0,146.0,0.76,,,
29000,,albertson college,Yes,587.0,479.0,0.82,,,
35600,,albertus magnus college,Yes,353.0,340.0,0.96,,,
41700,,albion college,Yes,1899.0,1720.0,0.91,,,
PrivacySuppressed,,albright college,Yes,1038.0,839.0,0.81,,,
PrivacySuppressed,,aldersonbroaddus college,Yes,582.0,498.0,0.86,,,
30600,,alfred university,Yes,1732.0,1425.0,0.82,,,
36800,,allegheny college,Yes,2652.0,1900.0,0.72,,,
37600,,allentown coll of st francis de sales,Yes,1179.0,780.0,0.66,,,
55600,,alma college,Yes,1267.0,1080.0,0.85,,,
,,alverno college,Yes,494.0,313.0,0.63,,,
31300,,american international college,Yes,1420.0,1093.0,0.77,,,
31800,,anderson university,Yes,1216.0,908.0,0.75,,,
19100,,andrews university,Yes,1130.0,704.0,0.62,"Berrien Springs, MI",183.0,"$27,684 "
,,angelo state university,No,3540.0,2001.0,0.57,,,
33300,,antioch university,Yes,713.0,661.0,0.93,,,
36600,,aquinas college,Yes,619.0,516.0,0.83,,,
37200,,arizona state university main campus,No,12809.0,10308.0,0.8,,,
37200,,arkansas college ,Yes,708.0,334.0,0.47,,,
37200,,arkansas tech university,No,1734.0,1729.0,1.0,,,
29100,,assumption college,Yes,2135.0,1700.0,0.8,,,
25900,,auburn universitymain campus,No,7548.0,6791.0,0.9,,,
,,augsburg college,Yes,662.0,513.0,0.77,,,
PrivacySuppressed,,augustana college il,Yes,1879.0,1658.0,0.88,,,
,,augustana college,Yes,761.0,725.0,0.95,,,
46500,,austin college,Yes,948.0,798.0,0.84,,,
,,averett college,Yes,627.0,556.0,0.89,,,
17400,,baker university,Yes,602.0,483.0,0.8,,,
28000,,baldwinwallace college,Yes,1690.0,1366.0,0.81,,,
43900,,barat college,Yes,261.0,192.0,0.74,,,
PrivacySuppressed,,bard college,Yes,1910.0,838.0,0.44,,,
33400,,barnard college,Yes,2496.0,1402.0,0.56,,,
30400,,barry university,Yes,990.0,784.0,0.79,,,
46500,,baylor university,Yes,6075.0,5349.0,0.88,"Waco, TX",71.0,"$42,006 "
33200,,beaver college,Yes,1163.0,850.0,0.73,,,
28900,,bellarmine college,Yes,807.0,707.0,0.88,,,
71100,,belmont abbey college,Yes,632.0,494.0,0.78,,,
33300,,belmont university,Yes,1220.0,974.0,0.8,,,
,,beloit college,Yes,1320.0,923.0,0.7,,,
34000,,bemidji state university,No,1208.0,877.0,0.73,,,
19300,,benedictine college,Yes,632.0,620.0,0.98,,,
32100,,bennington college,Yes,519.0,327.0,0.63,,,
88800,,bentley college,Yes,3466.0,2330.0,0.67,,,
25400,,berry college,Yes,1858.0,1221.0,0.66,,,
50800,,bethany college,Yes,878.0,816.0,0.93,,,
,,bethel college ks,Yes,202.0,184.0,0.91,,,
36600,,bethel college,Yes,502.0,384.0,0.76,,,
28800,,bethune cookman college,Yes,1646.0,1150.0,0.7,,,
25400,,birminghamsouthern college,Yes,805.0,588.0,0.73,,,
33400,,blackburn college,Yes,500.0,336.0,0.67,,,
37800,,bloomsburg univ of pennsylvania,No,6773.0,3028.0,0.45,,,
PrivacySuppressed,,bluefield college,Yes,377.0,358.0,0.95,,,
36900,,bluffton college,Yes,692.0,514.0,0.74,,,
22800,,boston university,Yes,20192.0,13007.0,0.64,"Boston, MA",39.0,"$50,240 "
58000,,bradford college,Yes,443.0,330.0,0.74,,,
PrivacySuppressed,,bradley university,Yes,3767.0,3414.0,0.91,,,
26300,,brandeis university,Yes,4186.0,2743.0,0.66,"Waltham, MA",34.0,"$51,570 "
32700,,brenau university,Yes,367.0,274.0,0.75,,,
49200,,brewtonparker college,Yes,1436.0,1228.0,0.86,,,
32900,,briar cliff college,Yes,392.0,351.0,0.9,,,
25900,,bridgewater college,Yes,838.0,673.0,0.8,,,
15900,,brigham young university at provo,Yes,7365.0,5402.0,0.73,,,
27700,,bryn mawr college,Yes,1465.0,810.0,0.55,,,
31300,,buena vista college,Yes,860.0,688.0,0.8,,,
,,butler university,Yes,2362.0,2037.0,0.86,,,
PrivacySuppressed,,cabrini college,Yes,599.0,494.0,0.82,,,
PrivacySuppressed,,caldwell college,Yes,1011.0,604.0,0.6,,,
49500,,california lutheran university,Yes,563.0,247.0,0.44,,,
80600,,california polytechnicsan luis,No,7811.0,3817.0,0.49,,,
28900,,california state university at fresno,No,4540.0,3294.0,0.73,,,
PrivacySuppressed,,calvin college,Yes,1784.0,1512.0,0.85,,,
32100,,campbell university,Yes,2087.0,1339.0,0.64,,,
34900,,campbellsville college,Yes,848.0,587.0,0.69,,,
24800,,canisius college,Yes,2853.0,2193.0,0.77,,,
28800,,capital university,Yes,1747.0,1382.0,0.79,,,
31900,,capitol college,Yes,100.0,90.0,0.9,,,
41700,,carnegie mellon university,Yes,8728.0,5201.0,0.6,"Pittsburgh, PA",24.0,"$52,040 "
26700,,carroll college,Yes,1160.0,991.0,0.85,,,
86500,,carsonnewman college,Yes,1096.0,951.0,0.87,,,
32600,,carthage college,Yes,1616.0,1427.0,0.88,,,
34900,,case western reserve university,Yes,3877.0,3156.0,0.81,"Cleveland, OH",37.0,"$46,006 "
61300,,castleton state college,No,1257.0,940.0,0.75,,,
PrivacySuppressed,,catawba college,Yes,1083.0,880.0,0.81,,,
,,catholic university of america,Yes,1754.0,1465.0,0.84,,,
15500,,cazenovia college,Yes,3847.0,3433.0,0.89,,,
18700,,cedar crest college,Yes,776.0,607.0,0.78,,,
20200,,cedarville college,Yes,1307.0,1090.0,0.83,,,
33300,,centenary college,Yes,369.0,312.0,0.85,,,
33700,,centenary college of louisiana,Yes,495.0,434.0,0.88,,,
35900,,center for creative studies,Yes,601.0,396.0,0.66,,,
26300,,central college,Yes,1283.0,1113.0,0.87,,,
50900,,central connecticut state university,No,4158.0,2532.0,0.61,,,
27000,,central missouri state university,No,4681.0,4101.0,0.88,,,
32600,,central washington university,No,2785.0,2011.0,0.72,,,
39900,,central wesleyan college,Yes,174.0,146.0,0.84,,,
28900,,centre college,Yes,1013.0,888.0,0.88,,,
34500,,chapman university,Yes,959.0,771.0,0.8,,,
19000,,chatham college,Yes,212.0,197.0,0.93,,,
30800,,chestnut hill college,Yes,342.0,254.0,0.74,,,
PrivacySuppressed,,christendom college,Yes,81.0,72.0,0.89,,,
58200,,christian brothers university,Yes,880.0,520.0,0.59,,,
31900,,christopher newport university,No,883.0,766.0,0.87,,,
38600,,claflin college,Yes,1196.0,697.0,0.58,,,
35000,,claremont mckenna college,Yes,1860.0,767.0,0.41,,,
53200,,clark university,Yes,2887.0,2059.0,0.71,"Worcester, MA",74.0,"$43,150 "
28800,,clarke college,Yes,460.0,340.0,0.74,,,
30100,,clarkson university,Yes,2174.0,1953.0,0.9,"Potsdam, NY",129.0,"$46,132 "
37000,,clinch valley coll of  the univ of virginia,No,689.0,561.0,0.81,,,
26200,,coe college,Yes,1006.0,742.0,0.74,,,
59400,,coker college,Yes,604.0,452.0,0.75,,,
,,college misericordia,Yes,1432.0,888.0,0.62,,,
49400,,college of charleston,No,4772.0,3140.0,0.66,,,
24300,,college of mount st joseph,Yes,798.0,620.0,0.78,,,
17400,,college of mount st vincent,Yes,946.0,648.0,0.68,,,
27900,,college of notre dame,Yes,344.0,264.0,0.77,,,
